,Uniprot,Ensembl,GeneID
436,Q6IQ32,ENSG00000101544,22850
437,Q9H2P0,ENSG00000101126,23394
438,Q9BRR6,ENSG00000159322,83440
439,Q9NRN7,ENSG00000149313,60496
440,P54922,ENSG00000144843,141
441,Q3LIE5,ENSG00000170222,56985
442,Q9NX46,ENSG00000116863,54936
443,P08588,ENSG00000043591,153
444,P07550,ENSG00000169252,154
445,P13945,ENSG00000188778,155
446,Q16186,ENSG00000130706,11047
447,P22570,ENSG00000161513,2232
448,P12235,ENSG00000151729,291
449,P05141,ENSG00000005022,292
450,P12236,ENSG00000169100,293
451,Q9H0C2,ENSG00000151475,83447
452,Q96IZ2,ENSG00000111863,84830
453,P10109,ENSG00000137714,2230
454,Q8IUX7,ENSG00000106624,165
455,Q6ZN18,ENSG00000139154,121536
456,Q96SZ5,ENSG00000181915,84890
457,Q6UXC1,ENSG00000177943,158056
458,Q8WTP8,ENSG00000181026,64782
459,P55197,ENSG00000078403,8028
460,P55198,ENSG00000275851,4302
461,P55198,ENSG00000275023,4302
462,Q8TED9,ENSG00000157510,134265
463,Q8N4X5,ENSG00000169129,84632
464,Q13015,ENSG00000213190,10962
465,P42568,ENSG00000171843,4300
466,P55196,ENSG00000130396,4301
467,P43652,ENSG00000079557,173
468,Q8N556,ENSG00000196526,60312
469,P51825,ENSG00000172493,4299
470,P51816,ENSG00000155966,2334
471,P51826,ENSG00000144218,3899
472,Q9UHB7,ENSG00000072364,27125
473,Q8WV93,ENSG00000135537,246269
474,Q8NB90,ENSG00000145375,166378
475,Q9Y4W6,ENSG00000141385,10939
476,Q6ULP2,ENSG00000119844,54812
477,Q5BKT4,ENSG00000139133,84920
478,Q5I7T1,ENSG00000175548,144245
479,C9J202,ENSG00000251287,644974
480,P06280,ENSG00000102393,2717
481,Q9UPQ3,ENSG00000157985,116987
482,Q99490,ENSG00000135439,116986
483,Q96P47,ENSG00000133612,116988
484,Q96P64,ENSG00000188234,119016
485,A6NIR3,ENSG00000172650,729092
486,Q5VW22,ENSG00000204149,414189
487,Q5VTM2,ENSG00000204172,642517
488,P52594,ENSG00000173744,3267
489,O95081,ENSG00000106351,3268
490,Q8N302,ENSG00000164252,55109
491,Q53H12,ENSG00000006530,55750
492,Q53H12,ENSG00000262327,55750
493,O95394,ENSG00000013375,5238
494,Q9UL18,ENSG00000092847,26523
495,Q9UKV8,ENSG00000123908,27161
496,Q9H9G7,ENSG00000126070,192669
497,Q9HCK5,ENSG00000134698,192670
498,O95994,ENSG00000106541,10551
499,Q8TD06,ENSG00000173467,155465
500,Q86SQ6,ENSG00000197177,84435
501,Q96PE1,ENSG00000020181,25960
502,Q8IWK6,ENSG00000152990,166647
503,O14514,ENSG00000181790,575
504,O60241,ENSG00000121753,576
505,O60242,ENSG00000135298,577
506,Q6QNK2,ENSG00000111452,283383
507,Q14246,ENSG00000174837,2015
508,Q9UHX3,ENSG00000127507,30817
509,Q9BY15,ENSG00000131355,84658
510,P48960,ENSG00000123146,976
511,Q5T601,ENSG00000153292,266977
512,Q8IZF5,ENSG00000173567,165082
513,Q8IZF3,ENSG00000153294,221393
