,Uniprot,Ensembl,GeneID
3987,Q5JQC4,ENSG00000224089,728090
3988,Q5JQC4,ENSG00000224089,728096
3989,Q5JQC4,ENSG00000236371,100507170
3990,Q5JQC4,ENSG00000236371,255313
3991,Q5JQC4,ENSG00000236371,653282
3992,Q5JQC4,ENSG00000236371,728036
3993,Q5JQC4,ENSG00000236371,728042
3994,Q5JQC4,ENSG00000236371,728049
3995,Q5JQC4,ENSG00000236371,728062
3996,Q5JQC4,ENSG00000236371,728072
3997,Q5JQC4,ENSG00000236371,728075
3998,Q5JQC4,ENSG00000236371,728082
3999,Q5JQC4,ENSG00000236371,728090
4000,Q5JQC4,ENSG00000236371,728096
4001,Q5JQC4,ENSG00000228517,100507170
4002,Q5JQC4,ENSG00000228517,255313
4003,Q5JQC4,ENSG00000228517,653282
4004,Q5JQC4,ENSG00000228517,728036
4005,Q5JQC4,ENSG00000228517,728042
4006,Q5JQC4,ENSG00000228517,728049
4007,Q5JQC4,ENSG00000228517,728062
4008,Q5JQC4,ENSG00000228517,728072
4009,Q5JQC4,ENSG00000228517,728075
4010,Q5JQC4,ENSG00000228517,728082
4011,Q5JQC4,ENSG00000228517,728090
4012,Q5JQC4,ENSG00000228517,728096
4013,Q5JQC4,ENSG00000237957,100507170
4014,Q5JQC4,ENSG00000237957,255313
4015,Q5JQC4,ENSG00000237957,653282
4016,Q5JQC4,ENSG00000237957,728036
4017,Q5JQC4,ENSG00000237957,728042
4018,Q5JQC4,ENSG00000237957,728049
4019,Q5JQC4,ENSG00000237957,728062
4020,Q5JQC4,ENSG00000237957,728072
4021,Q5JQC4,ENSG00000237957,728075
4022,Q5JQC4,ENSG00000237957,728082
4023,Q5JQC4,ENSG00000237957,728090
4024,Q5JQC4,ENSG00000237957,728096
4025,Q5JQC4,ENSG00000236126,100507170
4026,Q5JQC4,ENSG00000236126,255313
4027,Q5JQC4,ENSG00000236126,653282
4028,Q5JQC4,ENSG00000236126,728036
4029,Q5JQC4,ENSG00000236126,728042
4030,Q5JQC4,ENSG00000236126,728049
4031,Q5JQC4,ENSG00000236126,728062
4032,Q5JQC4,ENSG00000236126,728072
4033,Q5JQC4,ENSG00000236126,728075
4034,Q5JQC4,ENSG00000236126,728082
4035,Q5JQC4,ENSG00000236126,728090
4036,Q5JQC4,ENSG00000236126,728096
4037,Q5JQC4,ENSG00000226929,100507170
4038,Q5JQC4,ENSG00000226929,255313
4039,Q5JQC4,ENSG00000226929,653282
4040,Q5JQC4,ENSG00000226929,728036
4041,Q5JQC4,ENSG00000226929,728042
4042,Q5JQC4,ENSG00000226929,728049
4043,Q5JQC4,ENSG00000226929,728062
4044,Q5JQC4,ENSG00000226929,728072
4045,Q5JQC4,ENSG00000226929,728075
4046,Q5JQC4,ENSG00000226929,728082
4047,Q5JQC4,ENSG00000226929,728090
4048,Q5JQC4,ENSG00000226929,728096
4049,Q5JQC4,ENSG00000230347,100507170
4050,Q5JQC4,ENSG00000230347,255313
4051,Q5JQC4,ENSG00000230347,653282
4052,Q5JQC4,ENSG00000230347,728036
4053,Q5JQC4,ENSG00000230347,728042
4054,Q5JQC4,ENSG00000230347,728049
4055,Q5JQC4,ENSG00000230347,728062
4056,Q5JQC4,ENSG00000230347,728072
4057,Q5JQC4,ENSG00000230347,728075
4058,Q5JQC4,ENSG00000230347,728082
4059,Q5JQC4,ENSG00000230347,728090
4060,Q5JQC4,ENSG00000230347,728096
4061,Q5JQC4,ENSG00000242362,100507170
4062,Q5JQC4,ENSG00000242362,255313
4063,Q5JQC4,ENSG00000242362,653282
4064,Q5JQC4,ENSG00000242362,728036
4065,Q5JQC4,ENSG00000242362,728042
4066,Q5JQC4,ENSG00000242362,728049
4067,Q5JQC4,ENSG00000242362,728062
4068,Q5JQC4,ENSG00000242362,728072
4069,Q5JQC4,ENSG00000242362,728075
4070,Q5JQC4,ENSG00000242362,728082
4071,Q5JQC4,ENSG00000242362,728090
4072,Q5JQC4,ENSG00000242362,728096
4073,Q5JQC4,ENSG00000288363,100507170
4074,Q5JQC4,ENSG00000288363,255313
4075,Q5JQC4,ENSG00000288363,653282
4076,Q5JQC4,ENSG00000288363,728036
4077,Q5JQC4,ENSG00000288363,728042
4078,Q5JQC4,ENSG00000288363,728049
4079,Q5JQC4,ENSG00000288363,728062
4080,Q5JQC4,ENSG00000288363,728072
4081,Q5JQC4,ENSG00000288363,728075
4082,Q5JQC4,ENSG00000288363,728082
4083,Q5JQC4,ENSG00000288363,728090
4084,Q5JQC4,ENSG00000288363,728096
4085,Q5JQC4,ENSG00000288477,100507170
4086,Q5JQC4,ENSG00000288477,255313
4087,Q5JQC4,ENSG00000288477,653282
4088,Q5JQC4,ENSG00000288477,728036
4089,Q5JQC4,ENSG00000288477,728042
4090,Q5JQC4,ENSG00000288477,728049
4091,Q5JQC4,ENSG00000288477,728062
4092,Q5JQC4,ENSG00000288477,728072
4093,Q5JQC4,ENSG00000288477,728075
4094,Q5JQC4,ENSG00000288477,728082
4095,Q5JQC4,ENSG00000288477,728090
4096,Q5JQC4,ENSG00000288477,728096
4097,Q5JQC4,ENSG00000288273,100507170
4098,Q5JQC4,ENSG00000288273,255313
4099,Q5JQC4,ENSG00000288273,653282
4100,Q5JQC4,ENSG00000288273,728036
4101,Q5JQC4,ENSG00000288273,728042
4102,Q5JQC4,ENSG00000288273,728049
4103,Q5JQC4,ENSG00000288273,728062
4104,Q5JQC4,ENSG00000288273,728072
4105,Q5JQC4,ENSG00000288273,728075
4106,Q5JQC4,ENSG00000288273,728082
4107,Q5JQC4,ENSG00000288273,728090
4108,Q5JQC4,ENSG00000288273,728096
4109,P0C2W7,ENSG00000236446,643311
4110,P0C2W7,ENSG00000288466,643311
4111,Q8WUE5,ENSG00000169551,54967
4112,O75638,ENSG00000126890,30848
4113,Q8WYA6,ENSG00000132792,56259
4114,Q13363,ENSG00000159692,1487
4115,P56545,ENSG00000175029,1488
4116,Q2NKJ3,ENSG00000178971,80169
4117,Q8NI51,ENSG00000124092,140690
4118,P49711,ENSG00000102974,10664
4119,Q9Y5B0,ENSG00000060069,9150
4120,Q9GZU7,ENSG00000144579,58190
4121,O14595,ENSG00000175215,10106
4122,O15194,ENSG00000144677,10217
4123,Q8WVB6,ENSG00000127586,63922
4124,Q16619,ENSG00000150281,1489
4125,P0CG13,ENSG00000168802,54921
4126,P78358,ENSG00000184033,1485
4127,P78358,ENSG00000184033,246100
4128,P78358,ENSG00000268651,1485
4129,P78358,ENSG00000268651,246100
4130,Q96RT6,ENSG00000212710,64693
4131,Q96RT6,ENSG00000282841,64693
4132,Q8IX94,ENSG00000288784,100128553
4133,Q8IX94,ENSG00000288784,100142659
4134,Q86UF2,ENSG00000271321,340307
4135,Q86UF2,ENSG00000285123,340307
4136,P0CG41,ENSG00000289604,100142659
4137,P0CG41,ENSG00000288181,100142659
4138,A4FU28,ENSG00000236761,643854
4139,A4D2H0,ENSG00000271079,441294
4140,A4D2H0,ENSG00000285172,441294
4141,Q96CG8,ENSG00000164932,115908
4142,O43310,ENSG00000134030,9811
4143,O43310,ENSG00000282825,9811
4144,Q99708,ENSG00000101773,5932
4145,Q8WWI5,ENSG00000070214,23446
4146,Q8IWA5,ENSG00000129353,57153
4147,Q8N4M1,ENSG00000143036,126969
4148,Q53GD3,ENSG00000204385,80736
4149,Q53GD3,ENSG00000206378,80736
4150,Q53GD3,ENSG00000229077,80736
4151,Q53GD3,ENSG00000235336,80736
4152,Q53GD3,ENSG00000228263,80736
4153,Q53GD3,ENSG00000232180,80736
4154,Q53GD3,ENSG00000231479,80736
4155,Q8NCS7,ENSG00000137968,204962
4156,P16410,ENSG00000163599,1493
4157,P35221,ENSG00000044115,1495
4158,P26232,ENSG00000066032,1496
4159,Q9UI47,ENSG00000183230,29119
4160,P35222,ENSG00000168036,1499
4161,O60716,ENSG00000198561,1500
4162,Q9UQB3,ENSG00000169862,1501
4163,Q9UBT7,ENSG00000119326,8727
4164,O60931,ENSG00000040531,1497
4165,P52569,ENSG00000003989,6542
4166,Q8WY07,ENSG00000165349,84889
4167,O43246,ENSG00000099960,6545
4168,Q6PD62,ENSG00000198730,9646
4169,P17538,ENSG00000168925,1504
4170,Q6GPI1,ENSG00000168928,440387
4171,Q99895,ENSG00000162438,11330
4172,P40313,ENSG00000141086,1506
4173,O14578,ENSG00000122966,11113
4174,Q05D32,ENSG00000137770,51496
4175,Q8NEC5,ENSG00000175294,117144
4176,Q96P56,ENSG00000166762,117155
4177,Q86XQ3,ENSG00000152705,347732
4178,Q7RTX7,ENSG00000188782,378807
4179,Q9H7T0,ENSG00000133962,79820
4180,Q9H7T0,ENSG00000274338,79820
4181,Q86XM0,ENSG00000174898,257062
4182,Q5SY80,ENSG00000179397,257044
4183,Q6ZRH7,ENSG00000099338,57828
4184,Q9NTU4,ENSG00000219435,25858
4185,Q8WZ74,ENSG00000077063,83992
4186,Q7Z7A3,ENSG00000142544,90353
4187,Q2VPK5,ENSG00000174177,348180
4188,P60606,ENSG00000178531,404217
4189,P0C2S0,ENSG00000233932,399697
4190,Q4LDR2,ENSG00000205279,613212
4191,P58505,ENSG00000160298,54058
4192,Q9NYP8,ENSG00000205929,56245
4193,Q9NYP8,ENSG00000262938,56245
4194,O60494,ENSG00000107611,8029
4195,Q9NWM3,ENSG00000180891,404093
4196,Q9H467,ENSG00000107874,79004
4197,Q13616,ENSG00000055130,8454
4198,Q13617,ENSG00000108094,8453
4199,Q13618,ENSG00000036257,8452
4200,Q13619,ENSG00000139842,8451
4201,Q13620,ENSG00000158290,8450
4202,Q93034,ENSG00000166266,8065
4203,Q14999,ENSG00000044090,9820
4204,Q8IWT3,ENSG00000112659,23113
4205,O60888,ENSG00000112514,51596
4206,O60888,ENSG00000226492,51596
4207,Q9NTM9,ENSG00000119929,51076
4208,P39880,ENSG00000257923,1523
4209,O14529,ENSG00000111249,23316
4210,Q86UP6,ENSG00000138161,50624
4211,Q8WYQ4,ENSG00000169314,150248
4212,O95567,ENSG00000100249,25770
4213,Q6P5X5,ENSG00000242259,128977
4214,Q6IC83,ENSG00000205856,150297
4215,Q9P013,ENSG00000150316,51503
4216,Q9HCG8,ENSG00000163510,57703
4217,Q9NXE8,ENSG00000273559,54883
4218,Q9NXE8,ENSG00000276761,54883
4219,Q6UX04,ENSG00000153015,10283
4220,Q8TB03,ENSG00000185753,159013
4221,A8MYA2,ENSG00000215115,100130361
4222,A8MYA2,ENSG00000215115,100132994
4223,A8MYA2,ENSG00000215113,100130361
4224,A8MYA2,ENSG00000215113,100132994
4225,Q96LI9,ENSG00000165182,254158
4226,A0A1B0GTR3,ENSG00000224440,100129239
4227,A0A1B0GTR3,ENSG00000224440,100133053
4228,P0DPH9,ENSG00000235699,100129239
4229,P0DPH9,ENSG00000235699,100133053
4230,A6NEN9,ENSG00000204165,158830
4231,Q5JRM2,ENSG00000203933,347487
4232,P49238,ENSG00000168329,1524
4233,P12074,ENSG00000111775,1337
4234,Q02221,ENSG00000156885,1339
4235,P14854,ENSG00000126267,1340
4236,Q6YFQ2,ENSG00000160471,125965
4237,P24310,ENSG00000161281,1346
4238,P14406,ENSG00000112695,1347
4239,Q8TF08,ENSG00000170516,170712
4240,Q969M2,ENSG00000135355,84694
4241,Q969M2,ENSG00000288435,84694
4242,P17302,ENSG00000152661,2697
4243,Q9Y6H8,ENSG00000121743,2700
4244,P35212,ENSG00000187513,2701
4245,P36382,ENSG00000265107,2702
4246,P48165,ENSG00000121634,2703
4247,P57773,ENSG00000131233,81025
4248,P78310,ENSG00000154639,1525
4249,P08034,ENSG00000169562,2705
4250,P29033,ENSG00000165474,2706
4251,O75712,ENSG00000188910,2707
4252,Q9NTQ9,ENSG00000189433,127534
4253,O95377,ENSG00000189280,2709
4254,O95452,ENSG00000121742,10804
4255,Q6PEY0,ENSG00000164411,375519
4256,P19875,ENSG00000081041,2920
4257,P19876,ENSG00000163734,2921
4258,P42830,ENSG00000163735,6374
4259,P80162,ENSG00000124875,6372
4260,P02775,ENSG00000163736,5473
4261,Q07325,ENSG00000138755,4283
4262,P25024,ENSG00000163464,3577
4263,P25025,ENSG00000180871,3579
4264,P49682,ENSG00000186810,2833
4265,P61073,ENSG00000121966,7852
4266,P32302,ENSG00000160683,643
4267,O00574,ENSG00000172215,10663
4268,Q9UKL4,ENSG00000159248,57369
4269,Q8N144,ENSG00000183153,125111
4270,Q96KN9,ENSG00000177291,219770
4271,P36383,ENSG00000182963,10052
4272,Q5T442,ENSG00000198835,57165
4273,Q8NFK1,ENSG00000176402,349149
4274,P02778,ENSG00000169245,3627
4275,O14625,ENSG00000169248,6373
4276,O43927,ENSG00000156234,10563
4277,O95715,ENSG00000145824,9547
4278,Q9H2A7,ENSG00000161921,58191
4279,Q6UXB2,ENSG00000189377,284340
4280,Q9P0U4,ENSG00000154832,30827
4281,Q7LFL8,ENSG00000171604,51523
4282,P08574,ENSG00000179091,1537
4283,P13498,ENSG00000051523,1535
4284,P04839,ENSG00000165168,1536
4285,P49447,ENSG00000008283,1534
4286,Q8NBI2,ENSG00000162144,220002
4287,O43169,ENSG00000103018,80777
4288,P00167,ENSG00000166347,1528
4289,Q9BQA9,ENSG00000178927,79415
4290,Q9HB71,ENSG00000116161,27101
4291,Q53TN4,ENSG00000071967,79901
4292,P00156,ENSG00000198727,4519
4293,P99999,ENSG00000172115,54205
4294,Q7L576,ENSG00000273749,23191
4295,Q7L576,ENSG00000288461,23191
4296,Q96F07,ENSG00000055163,26999
4297,Q8WWM9,ENSG00000161544,114757
4298,Q15438,ENSG00000108669,9267
4299,Q99418,ENSG00000105443,9266
4300,O43739,ENSG00000008256,9265
4301,Q9UIA0,ENSG00000100055,27128
4302,Q6ZMK1,ENSG00000187954,50626
4303,P35663,ENSG00000183035,1538
4304,Q14093,ENSG00000155833,1539
4305,Q9NQC7,ENSG00000083799,1540
4306,Q9BWK5,ENSG00000122783,78996
4307,Q9H0Q0,ENSG00000197872,81553
4308,Q9NUQ9,ENSG00000153310,51571
4309,Q717R9,ENSG00000205795,192668
4310,P01040,ENSG00000121552,1475
4311,P04080,ENSG00000160213,1476
4312,P01034,ENSG00000101439,1471
4313,P28325,ENSG00000170367,1473
4314,O76096,ENSG00000077984,8530
4315,O60759,ENSG00000115165,9595
4316,Q9NRR1,ENSG00000170891,54360
4317,Q9H1C7,ENSG00000120306,84418
4318,Q15828,ENSG00000175315,1474
4319,P01037,ENSG00000170373,1469
4320,Q69YQ0,ENSG00000100014,23384
4321,Q5M775,ENSG00000128487,92521
4322,P01036,ENSG00000101441,1472
4323,P09228,ENSG00000170369,1470
4324,Q96J86,ENSG00000166265,116159
4325,Q9NWV4,ENSG00000162384,54987
4326,P81534,ENSG00000176797,414325
4327,P81534,ENSG00000176797,55894
4328,P81534,ENSG00000177243,414325
4329,P81534,ENSG00000177243,55894
4330,P81534,ENSG00000273641,414325
4331,P81534,ENSG00000273641,55894
4332,P81534,ENSG00000285376,414325
4333,P81534,ENSG00000285376,55894
4334,P81534,ENSG00000284978,414325
4335,P81534,ENSG00000284978,55894
4336,Q8WTQ1,ENSG00000176782,140596
4337,Q8WTQ1,ENSG00000176782,503618
4338,Q8WTQ1,ENSG00000177023,140596
4339,Q8WTQ1,ENSG00000177023,503618
4340,Q8WTQ1,ENSG00000277006,140596
4341,Q8WTQ1,ENSG00000277006,503618
4342,Q8WTQ1,ENSG00000285034,140596
4343,Q8WTQ1,ENSG00000285034,503618
4344,Q8NG35,ENSG00000186562,245908
4345,Q8NG35,ENSG00000186562,504180
4346,Q8NG35,ENSG00000186599,245908
4347,Q8NG35,ENSG00000186599,504180
4348,Q8NG35,ENSG00000274729,245908
4349,Q8NG35,ENSG00000274729,504180
4350,Q8NG35,ENSG00000285015,245908
4351,Q8NG35,ENSG00000285015,504180
4352,Q8N104,ENSG00000186579,245909
4353,Q8N104,ENSG00000186579,503841
4354,Q8N104,ENSG00000187082,245909
4355,Q8N104,ENSG00000187082,503841
4356,Q8N104,ENSG00000275794,245909
4357,Q8N104,ENSG00000275794,503841
4358,Q8N104,ENSG00000285617,245909
4359,Q8N104,ENSG00000285617,503841
4360,Q8IZN7,ENSG00000186572,245910
4361,Q8IZN7,ENSG00000186572,503614
4362,Q8IZN7,ENSG00000198129,245910
4363,Q8IZN7,ENSG00000198129,503614
4364,Q8IZN7,ENSG00000277530,245910
4365,Q8IZN7,ENSG00000277530,503614
4366,Q8IZN7,ENSG00000285432,245910
4367,Q8IZN7,ENSG00000285432,503614
4368,Q8IZN7,ENSG00000284979,245910
4369,Q8IZN7,ENSG00000284979,503614
4370,Q8NET1,ENSG00000184276,245911
4371,P0DP74,ENSG00000232948,100133267
4372,P0DP74,ENSG00000232948,245940
4373,P0DP74,ENSG00000285249,100133267
4374,P0DP74,ENSG00000285249,245940
4375,P0DP73,ENSG00000233050,100133267
4376,P0DP73,ENSG00000233050,245940
4377,P59861,ENSG00000186146,644414
4378,A0A096LNP1,ENSG00000225805,100129216
4379,Q2PZI1,ENSG00000173852,23333
4380,Q6NUT2,ENSG00000177990,283417
4381,Q6ZPD9,ENSG00000178904,147991
4382,Q7Z388,ENSG00000156162,286148
4383,Q8N465,ENSG00000180902,728294
4384,Q9NRG7,ENSG00000100445,56948
4385,Q8WUS8,ENSG00000184860,93517
4386,Q96MX6,ENSG00000243667,116143
4387,Q86X45,ENSG00000129295,23639
4388,Q8NEP3,ENSG00000154099,123872
4389,Q8N9W5,ENSG00000167646,352909
4390,Q8WXU2,ENSG00000256061,161582
4391,Q86Y56,ENSG00000164818,54919
4392,Q9NQM4,ENSG00000080572,139212
4393,Q8IYS4,ENSG00000166246,146562
4394,Q5TEA3,ENSG00000088854,25943
4395,Q9Y4D1,ENSG00000100592,23002
4396,Q86T65,ENSG00000146122,23500
4397,O75553,ENSG00000173406,1600
4398,Q5VWQ8,ENSG00000136848,153090
4399,P98082,ENSG00000153071,1601
4400,Q9UI36,ENSG00000276644,1602
4401,Q96NX9,ENSG00000126733,117154
4402,Q9NYF0,ENSG00000165617,51339
4403,Q5SW24,ENSG00000164488,168002
4404,Q96B18,ENSG00000197380,147906
4405,P61803,ENSG00000129562,1603
4406,P08174,ENSG00000196352,1604
4407,Q14118,ENSG00000173402,1605
4408,Q5D0E6,ENSG00000178149,55152
4409,Q8N907,ENSG00000179284,199699
4410,P59103,ENSG00000182346,267012
4411,P51397,ENSG00000112977,1611
4412,P53355,ENSG00000196730,1612
4413,Q9UIK4,ENSG00000035664,23604
4414,O43293,ENSG00000167657,1613
4415,A0PJW8,ENSG00000163331,92196
4416,Q9P219,ENSG00000015133,440193
4417,Q9UN19,ENSG00000070190,27071
4418,Q8N136,ENSG00000123977,164781
4419,Q9UER7,ENSG00000204209,1616
4420,Q9UER7,ENSG00000206206,1616
4421,Q9UER7,ENSG00000206279,1616
4422,Q9UER7,ENSG00000231617,1616
4423,Q9UER7,ENSG00000227046,1616
4424,Q9NQZ3,ENSG00000188120,1617
4425,Q13117,ENSG00000205944,57055
4426,Q9NR90,ENSG00000187191,57054
4427,Q86SG3,ENSG00000205916,57135
4428,Q92904,ENSG00000092345,1618
4429,Q96EP5,ENSG00000071626,26528
4430,Q15038,ENSG00000183283,9802
4431,Q30KQ9,ENSG00000203970,245913
4432,Q30KQ7,ENSG00000214642,245927
4433,Q30KQ6,ENSG00000177684,245928
4434,Q30KQ5,ENSG00000215547,245929
4435,Q30KQ4,ENSG00000215545,245930
4436,Q96PH6,ENSG00000131068,117285
4437,Q8N690,ENSG00000180483,245932
4438,Q5J5C9,ENSG00000204548,245934
4439,Q8N688,ENSG00000180424,245936
4440,Q8NES8,ENSG00000180383,245937
4441,Q8N687,ENSG00000178591,245938
4442,Q9BYW3,ENSG00000125788,81623
4443,Q9H1M4,ENSG00000088782,140850
4444,Q7Z7B8,ENSG00000185982,245939
4445,Q9H1M3,ENSG00000125903,140881
4446,Q7Z7B7,ENSG00000186458,400830
4447,Q4QY38,ENSG00000205882,613211
4448,Q4QY38,ENSG00000284754,613211
4449,Q30KP9,ENSG00000205883,613209
4450,Q30KP9,ENSG00000285365,613209
4451,Q30KP8,ENSG00000205884,613210
4452,Q30KP8,ENSG00000285087,613210
4453,Q9UBU7,ENSG00000006634,10926
4454,Q8NFT6,ENSG00000161692,80174
4455,Q9NR28,ENSG00000184047,56616
4456,Q9H9R9,ENSG00000003249,79007
4457,Q9BQY9,ENSG00000244274,55861
4458,Q9UJU6,ENSG00000136279,28988
4459,Q10586,ENSG00000105516,1628
4460,Q9UK59,ENSG00000138231,51163
4461,A6NMT0,ENSG00000109851,120237
4462,Q6ZNG2,ENSG00000185610,440097
4463,Q5VU92,ENSG00000198889,139170
4464,Q5VW00,ENSG00000198354,340578
4465,O14576,ENSG00000158560,1780
4466,Q13409,ENSG00000077380,1781
4467,Q9Y6G9,ENSG00000144635,51143
4468,O43237,ENSG00000135720,1783
4469,Q8WVS4,ENSG00000126870,55112
4470,Q96EX3,ENSG00000119333,89891
4471,Q8TCX1,ENSG00000138036,51626
4472,Q3SXM0,ENSG00000182308,285429
4473,Q8NA75,ENSG00000176566,138009
4474,A6NGE4,ENSG00000226372,139425
4475,Q5QP82,ENSG00000122741,79269
4476,Q8TEB1,ENSG00000100897,80344
4477,Q8TEB1,ENSG00000284796,80344
4478,Q5T6F0,ENSG00000198876,25853
4479,Q9NV06,ENSG00000164934,25879
4480,Q66K64,ENSG00000132017,90379
4481,Q66K64,ENSG00000288453,90379
4482,Q9NXF7,ENSG00000163257,54876
4483,Q5H9S7,ENSG00000115827,80067
4484,Q9Y4B6,ENSG00000145041,9730
4485,Q8WV16,ENSG00000119599,26094
4486,Q96JK2,ENSG00000139990,8816
4487,Q58WW2,ENSG00000143164,55827
4488,P61962,ENSG00000136485,10238
4489,Q5TAQ9,ENSG00000132716,50717
4490,Q8WVC6,ENSG00000172992,79877
4491,P17707,ENSG00000123505,262
4492,Q8N8Z6,ENSG00000164465,285761
4493,Q96PD2,ENSG00000057019,131566
4494,Q9BVC3,ENSG00000136982,79075
4495,P43146,ENSG00000187323,1630
4496,A2VCK2,ENSG00000222046,149069
4497,A8MYV0,ENSG00000214866,728597
4498,M0R2J8,ENSG00000170959,341019
4499,Q9UHG0,ENSG00000146038,51473
4500,P81605,ENSG00000161634,117159
4501,Q99259,ENSG00000128683,2571
4502,Q05329,ENSG00000136750,2572
4503,P19113,ENSG00000140287,3067
4504,P27707,ENSG00000156136,1633
4505,O15075,ENSG00000133083,9201
4506,Q8N568,ENSG00000170390,166614
4507,Q9C098,ENSG00000163673,85443
4508,O95822,ENSG00000103150,23417
4509,Q96GG9,ENSG00000043093,54165
4510,Q6PH85,ENSG00000150401,55208
4511,Q8IWE4,ENSG00000188215,123879
4512,Q92564,ENSG00000109184,23142
4513,Q9BTE7,ENSG00000137692,84259
4514,Q8TF63,ENSG00000251380,140947
4515,P11926,ENSG00000115758,4953
4516,Q9NPI6,ENSG00000272886,55802
4517,Q8IZD4,ENSG00000151065,196513
4518,Q8IZD4,ENSG00000284850,196513
4519,Q8IU60,ENSG00000172795,167227
4520,Q96C86,ENSG00000110063,28960
4521,Q6PJP8,ENSG00000198924,9937
4522,Q9H816,ENSG00000118655,64858
4523,Q96SD1,ENSG00000152457,64421
4524,Q5T197,ENSG00000163357,149095
4525,Q5T1A1,ENSG00000163354,127579
4526,Q9H295,ENSG00000164935,81501
4527,P32321,ENSG00000129187,1635
4528,Q14203,ENSG00000204843,1639
4529,Q13561,ENSG00000175203,10540
4530,O75935,ENSG00000137100,11258
4531,Q9UJW0,ENSG00000132912,51164
4532,Q9BTE1,ENSG00000166847,84516
4533,O00399,ENSG00000104671,10671
4534,Q9H773,ENSG00000179958,79077
4535,P06132,ENSG00000126088,7389
4536,Q7Z4W1,ENSG00000169738,51181
4537,O43602,ENSG00000077279,1641
4538,Q9NUU7,ENSG00000168872,55308
4539,Q9UMR2,ENSG00000157349,11269
4540,Q9BW61,ENSG00000130311,79016
4541,O94760,ENSG00000153904,23576
4542,O95865,ENSG00000213722,23564
4543,O95865,ENSG00000206395,23564
4544,O95865,ENSG00000226634,23564
4545,O95865,ENSG00000233076,23564
4546,O95865,ENSG00000225635,23564
4547,O95865,ENSG00000228128,23564
4548,O95865,ENSG00000227317,23564
4549,Q16531,ENSG00000167986,1642
4550,Q92466,ENSG00000134574,1643
4551,P20711,ENSG00000132437,1644
4552,Q8NEL9,ENSG00000100523,80821
4553,O94830,ENSG00000085788,23259
4554,Q8WTU0,ENSG00000170967,414301
4555,Q5TDH0,ENSG00000197312,84301
4556,Q8IXT1,ENSG00000165490,220042
4557,P35638,ENSG00000175197,1649
4558,Q9NX09,ENSG00000168209,54541
4559,Q08345,ENSG00000137332,780
4560,Q08345,ENSG00000204580,780
4561,Q08345,ENSG00000215522,780
4562,Q08345,ENSG00000230456,780
4563,Q08345,ENSG00000234078,780
4564,Q16832,ENSG00000162733,4921
4565,Q96HY6,ENSG00000198171,65992
4566,Q96D03,ENSG00000145358,115265
4567,A6NHG4,ENSG00000099974,100037417
4568,A6NHG4,ENSG00000275758,100037417
4569,Q13206,ENSG00000178105,1662
4570,Q96FC9,ENSG00000013573,1663
4571,Q92841,ENSG00000100201,10521
4572,Q9NVP1,ENSG00000088205,8886
4573,Q92499,ENSG00000079785,1653
4574,Q9UHI6,ENSG00000064703,11218
4575,Q9NR30,ENSG00000165732,9188
4576,Q9BUQ8,ENSG00000174243,9416
4577,Q9GZR7,ENSG00000089737,57062
4578,Q9GZR7,ENSG00000273761,57062
4579,Q9UHL0,ENSG00000109832,29118
4580,Q9NUL7,ENSG00000182810,55794
4581,Q9H8H2,ENSG00000125485,64794
4582,O00571,ENSG00000215301,1654
4583,O15523,ENSG00000067048,8653
4584,Q9UJV9,ENSG00000183258,51428
4585,Q86XP3,ENSG00000198231,11325
4586,Q9NXZ2,ENSG00000080007,55510
4587,Q7L014,ENSG00000145833,9879
4588,Q9H0S4,ENSG00000213782,51202
4589,Q9Y6V7,ENSG00000105671,54555
4590,Q9NQI0,ENSG00000152670,54514
4591,Q9BQ39,ENSG00000107625,79009
4592,Q8N8A6,ENSG00000185163,317781
4593,Q8N8A6,ENSG00000288503,317781
4594,Q9Y2R4,ENSG00000277594,11056
4595,Q9Y2R4,ENSG00000278053,11056
4596,Q86TM3,ENSG00000184735,168400
4597,Q8TDD1,ENSG00000123064,79039
4598,Q8NHQ9,ENSG00000111364,57696
4599,Q9NY93,ENSG00000136271,54606
4600,O95786,ENSG00000107201,23586
4601,Q5T1V6,ENSG00000118197,83479
4602,P17844,ENSG00000108654,1655
4603,Q8IY21,ENSG00000137628,55601
4604,Q5H9U9,ENSG00000181381,91351
4605,P26196,ENSG00000110367,1656
4606,O75398,ENSG00000177030,10522
4607,Q9NUI1,ENSG00000242612,26063
4608,Q9NUI1,ENSG00000274296,26063
4609,Q16698,ENSG00000104325,1666
4610,Q8WXF8,ENSG00000160570,162989
4611,O75618,ENSG00000158796,9191
4612,P59665,ENSG00000206047,1667
4613,P59665,ENSG00000206047,728358
4614,P59665,ENSG00000240247,1667
4615,P59665,ENSG00000240247,728358
4616,P59665,ENSG00000284983,1667
4617,P59665,ENSG00000284983,728358
4618,P59665,ENSG00000285176,1667
4619,P59665,ENSG00000285176,728358
4620,P59666,ENSG00000239839,1668
4621,P12838,ENSG00000164821,1669
4622,P12838,ENSG00000285318,1669
4623,Q01523,ENSG00000164816,1670
4624,Q01523,ENSG00000285251,1670
4625,Q01524,ENSG00000164822,1671
4626,Q01524,ENSG00000285136,1671
4627,P60022,ENSG00000164825,1672
4628,P60022,ENSG00000284881,1672
4629,Q9H4E7,ENSG00000023892,50619
4630,Q6ZN54,ENSG00000140995,54849
4631,Q9HBH1,ENSG00000258429,64146
